Count,In-degree,Out-degree
0,48,81
1,492,520
2,1458,1472
3,4452,4446
4,9428,9501
5,14282,14123
6,16770,16728
7,15700,15744
8,12676,12490
9,9014,9285
10,6621,6684
11,4920,4900
12,3819,3714
13,2954,2977
14,2394,2320
15,1911,1986
16,1562,1563
17,1254,1293
18,1074,1112
19,922,856
20,828,796
21,705,715
22,632,606
23,890,886
24,708,786
25,646,640
26,660,624
27,560,568
28,460,482
29,428,434
30,402,414
31,346,378
32,360,316
33,268,282
34,278,246
35,236,278
36,244,190
37,306,270
38,264,285
39,252,294
40,255,249
41,243,291
42,201,183
43,147,207
44,201,183
45,174,129
46,165,159
47,156,156
48,126,165
49,168,129
50,126,105
51,93,111
52,108,111
53,96,102
54,108,90
55,87,108
56,111,87
57,87,84
58,84,84
59,108,84
60,81,60
61,78,78
62,57,90
63,80,65
64,42,78
65,78,63
66,69,51
67,80,90
68,75,72
69,85,80
70,57,69
71,95,80
72,55,70
73,50,70
74,54,66
75,50,70
76,70,65
77,60,50
78,50,60
79,50,50
80,95,50
81,50,50
82,50,65
83,75,50
84,50,50
85,60,50
86,60,50
87,50,55
88,55,50
89,50,70
90,50,50
91,50,50
92,50,50
93,55,50
94,50,50
95,50,50
96,50,50
97,50,50
98,50,50
99,50,50
100,50,50
101,50,50
102,55,50
103,50,50
104,50,50
105,50,50
106,50,50
107,50,50
108,50,50
109,50,50
110,50,50
111,50,50
112,50,50
113,50,50
114,50,50
115,50,50
116,50,50
117,50,50
118,50,50
119,50,50
120,50,50
121,50,50
122,50,50
123,50,50
124,50,50
125,50,50
126,50,50
127,50,50
128,50,50
129,50,50
130,50,50
131,50,50
133,50,50
134,50,50
135,50,50
136,50,50
137,50,50
138,50,50
139,50,50
140,50,50
141,50,50
142,50,50
143,50,50
144,50,50
145,50,50
146,50,50
147,50,50
148,50,50
149,50,50
150,50,50
151,50,50
152,50,50
153,50,50
154,50,50
155,50,50
156,50,50
157,50,50
158,50,50
161,50,50
162,50,50
163,50,50
165,50,50
166,50,50
167,50,50
168,50,50
169,50,50
170,50,50
171,50,50
172,50,50
173,50,50
174,50,50
175,50,50
176,50,50
177,50,50
178,50,50
180,50,50
181,50,50
183,50,50
184,50,50
185,50,50
186,50,50
187,50,50
188,50,50
189,50,50
191,50,50
192,50,50
193,50,50
194,50,50
944,50,50
196,50,50
197,50,50
198,50,50
199,50,50
200,50,50
201,50,50
202,50,50
546,50,50
206,50,50
207,50,50
209,50,50
210,50,50
211,50,50
212,50,50
213,50,50
214,50,50
215,50,50
217,50,50
220,50,50
221,50,50
223,50,50
224,50,50
225,50,50
226,50,50
227,50,50
228,50,50
229,50,50
230,50,50
232,50,50
748,50,50
749,50,50
637,50,50
245,50,50
246,50,50
247,50,50
248,50,50
249,50,50
250,50,50
251,50,50
252,50,50
254,50,50
256,50,50
519,50,50
513,50,50
262,50,50
263,50,50
264,50,50
266,50,50
270,50,50
273,50,50
275,50,50
279,50,50
540,50,50
285,50,50
286,50,50
287,50,50
288,50,50
291,50,50
292,50,50
293,50,50
561,50,50
296,50,50
297,50,50
298,50,50
303,50,50
306,50,50
307,50,50
309,50,50
311,50,50
315,50,50
316,50,50
321,50,50
322,50,50
330,50,50
331,50,50
334,50,50
335,50,50
340,50,50
341,50,50
344,50,50
347,50,50
348,50,50
349,50,50
350,50,50
352,50,50
353,50,50
355,50,50
357,50,50
359,50,50
572,50,50
363,50,50
365,50,50
1035,50,52
379,50,50
380,50,50
384,50,50
386,50,50
395,50,50
396,50,50
397,50,50
398,50,50
399,50,50
403,50,50
404,50,50
410,50,50
411,50,50
415,50,50
416,50,50
942,50,50
563,50,50
645,50,50
521,50,50
440,50,50
441,50,50
603,50,50
646,50,50
532,50,50
604,50,50
535,50,50
501,50,50
503,50,50
570,50,50
508,50,50
